id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Cipher,Gravel Verse,hip hop,confident,0.74,95,0.58,0.86,0.14
12,Sol Caliente,Luna Roja,reggaeton,festive,0.83,100,0.82,0.91,0.09
13,Iron Cathedral,Black Forge,metal,aggressive,0.97,170,0.39,0.45,0.03
14,Dawn Sonata,Ivory Hall,classical,serene,0.22,68,0.62,0.20,0.97
15,Neon Velocity,Pulse Theory,drum and bass,euphoric,0.95,174,0.73,0.79,0.04
16,Dusty Polaroid,Maple Run,country,nostalgic,0.51,104,0.66,0.57,0.64
17,Sunset Market,Kito Wave,afrobeat,vibrant,0.81,112,0.77,0.88,0.21
18,Blue Window,Marlow Kent,blues,melancholic,0.46,82,0.34,0.49,0.74
19,Midnight Circuit,Glass District,house,groovy,0.88,126,0.69,0.92,0.06
20,Cedar Letters,Hollow Pines,folk,tender,0.33,76,0.68,0.38,0.93
